model,question_id,temperature,num_samples,num_correct,num_attempted_samples,num_reference_failed_samples,pass@1,pass@2,pass@3,pass@4,pass@5,pass@6,pass@7,pass@8,pass@9,pass@10,pass@11,pass@12,pass@13,pass@14,pass@15,pass@16,pass@17,pass@18,pass@19,pass@20
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_001,0.5,50,5,50,0,0.1,0.1918,0.276,0.353,0.4234,0.4874,0.5457,0.5985,0.6463,0.6894,0.7283,0.7631,0.7943,0.8221,0.8468,0.8687,0.888,0.905,0.9198,0.9327
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_002,0.5,50,35,50,0,0.7,0.9143,0.9768,0.9941,0.9986,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_003,0.5,50,32,50,0,0.64,0.8751,0.9584,0.9867,0.996,0.9988,0.9997,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_004,0.5,50,9,50,0,0.18,0.3306,0.4561,0.5603,0.6463,0.717,0.7749,0.822,0.8602,0.8909,0.9154,0.9349,0.9503,0.9624,0.9718,0.9791,0.9846,0.9888,0.992,0.9943
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_005,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_006,0.5,50,33,50,0,0.66,0.889,0.9653,0.9897,0.9971,0.9992,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_007,0.5,50,14,50,0,0.28,0.4857,0.6357,0.7442,0.8221,0.8774,0.9164,0.9436,0.9624,0.9753,0.9839,0.9897,0.9935,0.996,0.9975,0.9985,0.9991,0.9995,0.9997,0.9998
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_008,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_009,0.5,50,3,50,0,0.06,0.1176,0.1727,0.2255,0.276,0.3243,0.3704,0.4143,0.4561,0.4959,0.5337,0.5696,0.6036,0.6357,0.6661,0.6947,0.7216,0.7469,0.7707,0.7929
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_010,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_011,0.5,50,15,50,0,0.3,0.5143,0.6661,0.7726,0.8468,0.8979,0.9327,0.9562,0.9718,0.9821,0.9888,0.9931,0.9958,0.9975,0.9986,0.9992,0.9995,0.9997,0.9999,0.9999
tinker/meta-llama/Llama-3.1-8B-Instruct,m2_012,0.5,50,0,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
